brand,model,year,engine_size,fuel_type,transmission,mileage,car_type,drive_type,price
Hyundai,Tucson,2009,1.5,Diesel,Automatic,16419,Hatchback,FWD,6878564
Kia,Picanto,2006,1.4,Petrol,Automatic,120307,Truck,AWD,7587965
Hyundai,Elantra,2016,2.5,Electric,Automatic,13335,SUV,FWD,5409868
Suzuki,Alto,2021,3.7,Petrol,Automatic,7506,Sedan,AWD,7157192
Kia,Sportage,2013,3.1,Electric,Manual,151740,Hatchback,AWD,831349
Kia,Cerato,2005,0.8,Petrol,Manual,33407,Truck,FWD,7617503
Hyundai,Elantra,2022,1.8,Diesel,CVT,155745,SUV,RWD,1171795
Toyota,Corolla,2023,3.6,Petrol,Manual,134987,Hatchback,AWD,3921144
Honda,Civic,2007,3.7,Hybrid,CVT,134215,Truck,FWD,3188347
Honda,City,2012,1.2,Diesel,Manual,138739,SUV,AWD,5262562
Kia,Cerato,2008,0.9,Hybrid,Automatic,92128,Hatchback,RWD,7357229
Kia,Sportage,2023,3.1,Diesel,CVT,125691,Truck,AWD,5345981
Hyundai,Tucson,2014,3.4,Petrol,Manual,166305,SUV,FWD,5780729
Hyundai,Elantra,2016,3.4,Electric,CVT,95685,Hatchback,AWD,5888644
Honda,Civic,2007,2.1,Diesel,Manual,195685,Hatchback,AWD,4374532
Toyota,Fortuner,2021,1.0,Hybrid,Automatic,48150,Sedan,RWD,5531617
Kia,Cerato,2016,1.0,Electric,Automatic,140063,Hatchback,RWD,1306962
Honda,BR-V,2017,1.5,Diesel,CVT,49445,Hatchback,RWD,2093015
Honda,Accord,2020,3.0,Hybrid,Manual,131525,Sedan,AWD,4057196
Kia,Cerato,2022,3.0,Hybrid,Manual,156489,Sedan,RWD,5992262
Toyota,Fortuner,2010,1.7,Hybrid,Automatic,133538,Hatchback,FWD,823666
Hyundai,Elantra,2023,2.3,Diesel,CVT,30231,SUV,FWD,5496864
Honda,City,2007,0.9,Petrol,Automatic,162166,SUV,RWD,2900826
Honda,BR-V,2010,2.7,Electric,CVT,17811,SUV,FWD,4041052
Honda,Civic,2006,2.2,Diesel,Manual,101048,Truck,FWD,7793641
Kia,Cerato,2006,1.4,Electric,Automatic,69584,Truck,FWD,2749777
Suzuki,Alto,2011,3.7,Diesel,Manual,129003,SUV,RWD,1334110
Hyundai,Sonata,2006,1.6,Diesel,Automatic,172701,Sedan,RWD,1205904
Suzuki,Swift,2020,1.7,Hybrid,Automatic,162142,Truck,RWD,4805064
Hyundai,Elantra,2016,1.0,Diesel,Automatic,92828,SUV,FWD,4344988
Kia,Cerato,2015,2.9,Electric,CVT,143658,Hatchback,FWD,1977608
Kia,Cerato,2015,3.0,Petrol,Automatic,184126,SUV,FWD,5249993
Suzuki,WagonR,2008,3.5,Hybrid,Manual,154640,Hatchback,AWD,5527460
Hyundai,Elantra,2010,0.8,Petrol,CVT,191594,Sedan,RWD,1574465
Toyota,Corolla,2018,3.9,Electric,CVT,136704,Sedan,RWD,6595587
Suzuki,Swift,2020,2.8,Petrol,Manual,29433,SUV,RWD,7215636
Toyota,Camry,2008,1.1,Hybrid,CVT,170291,Truck,RWD,3851929
Toyota,Camry,2015,1.6,Hybrid,CVT,61586,SUV,AWD,6697142
Toyota,Corolla,2011,3.4,Diesel,Automatic,106526,SUV,RWD,3958861
Honda,Civic,2020,2.3,Hybrid,Manual,15002,Hatchback,RWD,2834522
Suzuki,Swift,2006,3.3,Electric,Automatic,177672,Truck,RWD,1663470
Toyota,Camry,2014,4.0,Diesel,Manual,116741,Truck,RWD,4307598
Suzuki,Alto,2005,3.8,Petrol,Manual,112299,Truck,AWD,6763119
Toyota,Fortuner,2023,1.7,Petrol,Manual,19796,Truck,FWD,4909805
Hyundai,Sonata,2005,3.1,Electric,Automatic,124237,Hatchback,RWD,3718833
Honda,Civic,2007,2.2,Diesel,Automatic,20120,Sedan,RWD,1072991
Toyota,Yaris,2013,1.0,Electric,CVT,15905,Hatchback,AWD,1638724
Hyundai,Tucson,2017,2.8,Hybrid,Manual,94642,Hatchback,RWD,7696960
Hyundai,Tucson,2018,2.1,Diesel,Manual,11830,Truck,AWD,5929794
Toyota,Corolla,2023,1.3,Diesel,Manual,56434,Sedan,FWD,5125237
Hyundai,Elantra,2018,0.8,Electric,Automatic,77437,Hatchback,FWD,7184366
Honda,Accord,2005,3.4,Hybrid,Automatic,103468,Sedan,AWD,6745753
Kia,Cerato,2014,2.9,Electric,Automatic,103853,Hatchback,RWD,5125503
Honda,Accord,2011,2.7,Hybrid,Automatic,87399,Sedan,RWD,7469024
Suzuki,Cultus,2016,1.3,Diesel,Manual,132961,Sedan,RWD,2381537
Kia,Cerato,2018,2.1,Hybrid,Manual,147645,Hatchback,FWD,7905419
Suzuki,Cultus,2015,3.7,Petrol,Automatic,31366,Sedan,FWD,1220531
Suzuki,Cultus,2016,2.4,Electric,Manual,21202,Hatchback,FWD,2469861
Hyundai,Tucson,2013,1.1,Petrol,Automatic,23055,Truck,AWD,6885851
Hyundai,Tucson,2016,2.0,Electric,CVT,27093,SUV,FWD,2509777
Toyota,Fortuner,2007,1.1,Petrol,Automatic,134887,Hatchback,RWD,7489720
Kia,Sportage,2021,1.2,Diesel,Manual,57391,SUV,FWD,903772
Toyota,Camry,2019,3.2,Petrol,Automatic,177300,Sedan,RWD,3932863
Honda,Accord,2023,2.2,Petrol,CVT,133145,Hatchback,AWD,6358662
Kia,Picanto,2012,3.8,Electric,CVT,122339,Truck,RWD,7671391
Kia,Cerato,2017,3.6,Hybrid,CVT,76692,Truck,RWD,7367402
Hyundai,Elantra,2023,2.9,Diesel,CVT,189871,Sedan,RWD,5077003
Suzuki,Cultus,2014,3.6,Hybrid,CVT,140249,Hatchback,FWD,7532596
Honda,Civic,2011,1.8,Hybrid,Automatic,108485,Truck,AWD,7508768
Hyundai,Sonata,2018,1.4,Petrol,Manual,145967,Hatchback,RWD,1432223
Suzuki,WagonR,2018,3.5,Hybrid,Automatic,44742,Hatchback,RWD,7232140
Honda,City,2013,1.4,Electric,Manual,144390,SUV,AWD,3054632
Suzuki,Cultus,2017,1.4,Electric,Manual,88667,SUV,AWD,3209276
Honda,Civic,2018,1.9,Diesel,Manual,38609,SUV,AWD,4106971
Suzuki,Cultus,2012,2.3,Electric,CVT,180037,Truck,RWD,2669414
Kia,Cerato,2021,1.5,Electric,Manual,51911,Hatchback,RWD,6655734
Hyundai,Elantra,2005,2.1,Hybrid,Manual,186383,SUV,RWD,3021116
Hyundai,Elantra,2006,1.5,Diesel,CVT,89630,Hatchback,AWD,3298494
Honda,BR-V,2018,1.1,Petrol,Automatic,163494,SUV,AWD,7194699
Honda,Accord,2015,2.1,Electric,Automatic,96443,Sedan,AWD,2481860
Toyota,Corolla,2008,3.0,Hybrid,Manual,134155,Truck,RWD,3572884
Hyundai,Sonata,2008,2.0,Hybrid,CVT,162729,Truck,RWD,4265138
Toyota,Fortuner,2021,3.1,Electric,Manual,197801,Hatchback,RWD,4947263
Suzuki,Swift,2014,2.0,Diesel,Manual,147972,Hatchback,AWD,5419041
Honda,City,2007,3.4,Diesel,CVT,182203,Truck,RWD,3608588
Kia,Picanto,2007,1.5,Petrol,CVT,88447,SUV,RWD,3052352
Suzuki,Swift,2022,3.0,Electric,CVT,105273,Truck,AWD,4671320
Kia,Sportage,2011,1.4,Electric,Automatic,72492,SUV,AWD,2923436
Suzuki,WagonR,2019,1.3,Diesel,Automatic,83623,Hatchback,AWD,883723
Kia,Picanto,2018,3.8,Hybrid,CVT,30923,Truck,FWD,4127043
Honda,BR-V,2021,2.9,Diesel,CVT,67657,Truck,AWD,2082526
Honda,City,2016,2.0,Hybrid,CVT,63261,Truck,RWD,1942134
Hyundai,Sonata,2012,1.6,Electric,Manual,77465,SUV,AWD,3975344
Hyundai,Tucson,2016,2.1,Diesel,Automatic,73525,Hatchback,RWD,4346060
Hyundai,Tucson,2021,1.1,Diesel,CVT,38606,Truck,FWD,2848116
Hyundai,Elantra,2021,1.7,Petrol,Automatic,57070,Truck,RWD,5527681
Toyota,Corolla,2010,0.9,Electric,Automatic,185307,Hatchback,FWD,1148002
Kia,Cerato,2009,1.4,Hybrid,CVT,53007,SUV,FWD,4794436
Kia,Cerato,2013,2.5,Diesel,Manual,172265,Sedan,FWD,6849163
Suzuki,WagonR,2010,3.7,Hybrid,Manual,55563,Sedan,RWD,5737654
Toyota,Fortuner,2014,3.4,Hybrid,CVT,194384,Sedan,RWD,5271292
Kia,Picanto,2020,2.8,Electric,Manual,145542,Sedan,FWD,3852487
Honda,BR-V,2018,1.7,Hybrid,Automatic,20096,SUV,RWD,3409271
Kia,Cerato,2016,3.6,Petrol,Manual,125356,SUV,RWD,1990251
Suzuki,Cultus,2023,3.6,Petrol,Manual,67038,SUV,AWD,4874859
Suzuki,Alto,2022,2.8,Electric,CVT,166329,Hatchback,FWD,7499588
Hyundai,Sonata,2016,1.0,Electric,Manual,72571,Truck,RWD,5532595
Hyundai,Elantra,2023,3.8,Petrol,Automatic,143179,Hatchback,RWD,2547181
Suzuki,Alto,2020,3.2,Diesel,Automatic,150579,SUV,FWD,2688841
Honda,City,2010,3.2,Hybrid,CVT,157516,Sedan,RWD,3817375
Hyundai,Tucson,2021,2.3,Diesel,CVT,89992,Truck,RWD,7282001
Toyota,Camry,2007,1.8,Hybrid,CVT,195376,Truck,RWD,4632376
Kia,Cerato,2017,0.9,Petrol,Automatic,58980,Truck,AWD,7747241
Toyota,Camry,2014,2.7,Diesel,CVT,199527,SUV,AWD,4484576
Honda,Accord,2011,3.1,Diesel,CVT,186762,Truck,AWD,2839959
Suzuki,Alto,2014,3.8,Diesel,Manual,86183,SUV,RWD,2099282
Honda,BR-V,2009,2.7,Petrol,Automatic,171156,Truck,FWD,7767815
Hyundai,Elantra,2012,1.9,Petrol,Automatic,87781,Hatchback,RWD,1992578
Kia,Picanto,2014,0.9,Diesel,Manual,115679,Truck,AWD,4050302
Toyota,Corolla,2023,2.5,Hybrid,Manual,117505,Hatchback,FWD,7316948
Suzuki,Swift,2014,1.9,Electric,CVT,193809,Sedan,RWD,1388018
Hyundai,Tucson,2006,2.7,Hybrid,Automatic,158049,SUV,AWD,2031210
Toyota,Fortuner,2011,1.6,Electric,CVT,35983,Sedan,AWD,7186040
Hyundai,Sonata,2016,2.4,Diesel,CVT,180215,Hatchback,AWD,4094991
Hyundai,Tucson,2014,3.6,Diesel,CVT,151608,Sedan,AWD,1026458
Honda,City,2015,1.7,Diesel,CVT,83769,SUV,RWD,2052958
Honda,Accord,2018,2.7,Diesel,Automatic,56248,Hatchback,FWD,2318821
Honda,City,2010,3.5,Petrol,CVT,123553,SUV,AWD,5915564
Toyota,Corolla,2008,3.6,Diesel,CVT,185127,Truck,FWD,2973237
Kia,Picanto,2009,2.6,Hybrid,Manual,172000,Sedan,FWD,5204369
Suzuki,Cultus,2021,3.3,Hybrid,Manual,176452,SUV,RWD,5720414
Honda,City,2015,3.5,Diesel,Manual,25208,Truck,FWD,6243271
Toyota,Yaris,2007,1.6,Hybrid,Automatic,177625,SUV,AWD,7789032
Suzuki,WagonR,2016,1.2,Diesel,Manual,87430,Hatchback,FWD,4919762
Honda,Civic,2019,3.9,Diesel,CVT,194815,SUV,FWD,5593857
Hyundai,Elantra,2012,1.4,Petrol,Manual,17132,Truck,AWD,910581
Toyota,Fortuner,2005,1.0,Hybrid,Manual,78762,Truck,AWD,2753364
Kia,Cerato,2020,3.0,Diesel,CVT,66229,Sedan,FWD,4138812
Honda,City,2012,2.8,Hybrid,Manual,71299,Truck,AWD,6755741
Toyota,Camry,2008,2.8,Diesel,CVT,176893,Sedan,FWD,2545320
Honda,City,2009,1.4,Electric,Manual,19994,Truck,FWD,6482405
Honda,BR-V,2016,2.0,Petrol,CVT,93669,Hatchback,AWD,4825453
Suzuki,Alto,2010,1.7,Electric,Automatic,83384,SUV,FWD,7454398
Honda,Civic,2016,1.4,Electric,CVT,44774,SUV,AWD,3715769
Honda,Accord,2011,2.0,Petrol,Automatic,97840,SUV,RWD,2031836
Suzuki,Cultus,2020,0.8,Petrol,Manual,123501,Hatchback,FWD,4451116
Suzuki,Alto,2006,1.9,Hybrid,CVT,62953,Sedan,AWD,3708090
Kia,Cerato,2008,2.5,Petrol,CVT,7261,Truck,AWD,4502083
Honda,City,2013,3.5,Petrol,Automatic,9533,Hatchback,AWD,2308106
Suzuki,WagonR,2011,1.5,Electric,Manual,135168,SUV,FWD,4883843
Kia,Cerato,2009,3.2,Hybrid,Manual,194720,Hatchback,RWD,5238213
Suzuki,Alto,2021,1.5,Petrol,Manual,55317,SUV,RWD,5556126
Honda,Civic,2023,3.5,Electric,Automatic,91481,SUV,AWD,7286903
Honda,City,2019,1.1,Diesel,Manual,140220,Hatchback,RWD,3810187
Hyundai,Tucson,2010,1.0,Electric,Manual,119722,Sedan,FWD,6367607
Toyota,Yaris,2008,2.6,Electric,Automatic,133275,Sedan,FWD,6486083
Hyundai,Sonata,2014,0.9,Electric,Automatic,185785,SUV,FWD,4932239
Kia,Picanto,2016,3.6,Petrol,Automatic,158213,Hatchback,RWD,4553046
Suzuki,Alto,2013,3.0,Diesel,Manual,180329,SUV,RWD,2824703
Honda,Civic,2011,2.6,Petrol,Automatic,173002,SUV,RWD,4972199
Toyota,Yaris,2008,3.3,Hybrid,Manual,195592,Sedan,RWD,3345207
Kia,Cerato,2016,3.3,Hybrid,CVT,176045,Hatchback,FWD,3916716
Suzuki,Swift,2020,1.5,Petrol,CVT,16236,Sedan,AWD,6941471
Honda,BR-V,2023,2.3,Electric,CVT,176125,Hatchback,FWD,7120922
Hyundai,Tucson,2006,3.5,Electric,Automatic,178372,Truck,RWD,7372341
Hyundai,Tucson,2020,3.8,Petrol,CVT,134795,Truck,RWD,7920688
Toyota,Camry,2023,2.6,Electric,CVT,29742,Sedan,FWD,5907223
Suzuki,WagonR,2012,1.0,Hybrid,CVT,175158,SUV,AWD,2500160
Suzuki,Cultus,2014,3.6,Electric,Manual,101651,SUV,RWD,7187206
Hyundai,Elantra,2006,3.9,Hybrid,Automatic,9637,SUV,RWD,3868334
Suzuki,Cultus,2020,0.9,Electric,Automatic,181096,Sedan,RWD,7967792
Hyundai,Elantra,2014,2.1,Electric,Manual,197143,Hatchback,AWD,6861840
Honda,Accord,2010,3.5,Hybrid,Manual,147915,Hatchback,RWD,1410961
Kia,Cerato,2013,1.7,Diesel,Manual,160123,Hatchback,RWD,7095474
Honda,City,2019,1.5,Petrol,Automatic,152976,Hatchback,FWD,2480769
Toyota,Camry,2021,2.6,Hybrid,Manual,32786,Truck,AWD,3316150
Kia,Cerato,2012,3.5,Hybrid,CVT,157320,Truck,FWD,6526647
Kia,Cerato,2006,2.7,Diesel,CVT,101223,Truck,FWD,3368107
Honda,City,2015,2.6,Diesel,CVT,195377,Hatchback,RWD,1031082
Suzuki,Alto,2006,1.6,Diesel,CVT,48589,Truck,AWD,821011
Toyota,Camry,2010,0.9,Diesel,CVT,64334,Sedan,AWD,6193862
Toyota,Corolla,2008,2.2,Hybrid,Automatic,126206,Hatchback,RWD,894569
Honda,City,2016,1.5,Electric,Manual,139339,Sedan,AWD,3253295
Honda,BR-V,2018,1.3,Diesel,CVT,84721,Truck,FWD,3670321
Hyundai,Tucson,2019,1.4,Diesel,Automatic,29450,SUV,AWD,2712539
Honda,BR-V,2008,2.1,Hybrid,Automatic,155911,Hatchback,RWD,2783950
Honda,BR-V,2022,0.8,Hybrid,Manual,91210,SUV,FWD,7717673
Honda,BR-V,2011,1.8,Electric,Manual,80924,Sedan,FWD,7063832
Honda,BR-V,2021,2.1,Electric,Manual,52644,Truck,FWD,1001429
Suzuki,Alto,2010,1.6,Petrol,Automatic,129901,Hatchback,RWD,2053693
Kia,Sportage,2014,2.3,Petrol,CVT,171607,Truck,AWD,4381385
Hyundai,Sonata,2010,2.4,Diesel,CVT,31106,SUV,RWD,5367635
Honda,BR-V,2013,1.4,Hybrid,CVT,53631,SUV,AWD,3750696
Honda,Accord,2017,2.4,Petrol,CVT,122328,SUV,FWD,6595683
Toyota,Camry,2019,3.7,Hybrid,Automatic,123778,Hatchback,AWD,7731960
Honda,Civic,2009,3.0,Hybrid,Automatic,196252,SUV,AWD,4363411
Suzuki,WagonR,2015,3.9,Diesel,Manual,32524,Hatchback,RWD,4806679
Kia,Cerato,2007,1.2,Petrol,Manual,145608,Hatchback,FWD,2600226
Hyundai,Sonata,2017,3.8,Electric,Automatic,23162,Hatchback,FWD,3046908
Hyundai,Elantra,2020,3.9,Diesel,Manual,77983,Sedan,AWD,7377581
Hyundai,Tucson,2018,2.3,Diesel,Automatic,106187,Hatchback,AWD,2691944
Toyota,Yaris,2011,1.5,Electric,Automatic,91197,Truck,FWD,807485
Suzuki,Alto,2017,2.9,Petrol,Manual,182613,Sedan,FWD,6744763
Toyota,Yaris,2020,1.4,Hybrid,CVT,112529,Truck,AWD,5348073
Honda,Civic,2013,3.8,Petrol,Manual,129077,SUV,RWD,4864925
Suzuki,Cultus,2005,2.0,Petrol,Manual,137751,SUV,FWD,4942802
Honda,Civic,2022,1.0,Petrol,Manual,89031,Truck,AWD,833601
Hyundai,Sonata,2017,1.9,Hybrid,CVT,22462,Truck,FWD,887736
Honda,Accord,2022,2.7,Petrol,CVT,8816,Truck,RWD,5353337
Hyundai,Sonata,2013,3.0,Petrol,Automatic,61360,Truck,FWD,7180397
Kia,Cerato,2015,3.8,Hybrid,Manual,81220,Hatchback,RWD,4906500
Kia,Picanto,2014,3.3,Petrol,CVT,120219,Sedan,FWD,5759834
Kia,Picanto,2016,3.0,Hybrid,Manual,91796,Hatchback,FWD,997254
Suzuki,Swift,2018,3.7,Diesel,Manual,87676,SUV,FWD,7744418
Honda,Accord,2018,2.3,Petrol,Automatic,52978,Truck,AWD,2057421
Suzuki,Swift,2009,1.4,Hybrid,Automatic,44607,Truck,FWD,6411162
Toyota,Camry,2022,2.3,Diesel,Automatic,189449,SUV,RWD,3293255
Honda,City,2012,1.9,Hybrid,CVT,127842,SUV,RWD,6527171
Toyota,Yaris,2015,3.0,Hybrid,Manual,167485,Hatchback,FWD,3812329
Hyundai,Sonata,2014,3.8,Diesel,Manual,17196,Truck,AWD,2114553
Toyota,Corolla,2009,1.3,Diesel,Manual,26545,Truck,AWD,3929414
Toyota,Camry,2023,3.6,Electric,CVT,95665,SUV,RWD,3761336
Toyota,Yaris,2019,1.9,Diesel,CVT,183189,Truck,RWD,4134514
Kia,Sportage,2012,3.5,Electric,CVT,177192,Truck,FWD,4772395
Honda,Civic,2022,3.7,Hybrid,Automatic,39558,Hatchback,FWD,7356550
Kia,Sportage,2006,2.2,Hybrid,CVT,91299,SUV,FWD,4724242
Honda,Accord,2009,2.2,Hybrid,Manual,11848,Truck,FWD,3910348
Hyundai,Tucson,2005,1.3,Hybrid,Manual,37414,Hatchback,FWD,4244354
Honda,City,2022,3.1,Diesel,Manual,92832,Truck,FWD,6266009
Toyota,Yaris,2010,1.7,Electric,Manual,8237,Hatchback,RWD,5308958
Toyota,Corolla,2010,0.9,Petrol,CVT,93745,Truck,FWD,7846817
Honda,City,2016,2.2,Hybrid,Automatic,192691,Sedan,FWD,1258553
Kia,Picanto,2006,3.8,Petrol,CVT,25038,SUV,AWD,7453784
Kia,Cerato,2013,3.0,Hybrid,Automatic,9870,Truck,FWD,4370124
Suzuki,WagonR,2017,1.6,Diesel,Automatic,16434,Sedan,FWD,1527797
Suzuki,Swift,2022,3.6,Petrol,Automatic,173397,Truck,RWD,975852
Honda,BR-V,2015,2.5,Petrol,Automatic,77110,Hatchback,RWD,1964353
Hyundai,Elantra,2011,1.3,Diesel,CVT,115976,Sedan,FWD,4673179
Toyota,Camry,2009,3.4,Hybrid,CVT,68880,Sedan,FWD,5046389
Hyundai,Tucson,2005,3.9,Petrol,Manual,176693,Truck,FWD,1742752
Suzuki,WagonR,2017,3.0,Diesel,Automatic,77834,Hatchback,RWD,4485138
Hyundai,Tucson,2014,2.4,Hybrid,Manual,183699,Sedan,AWD,3381233
Honda,Accord,2009,3.5,Diesel,Automatic,60021,Truck,AWD,7365610
Honda,Accord,2021,3.3,Hybrid,Manual,94180,SUV,FWD,7582440
Suzuki,Alto,2015,1.6,Diesel,Manual,133889,Sedan,RWD,6343790
Toyota,Camry,2023,1.2,Petrol,Automatic,12679,SUV,AWD,6445498
Kia,Sportage,2014,3.5,Diesel,CVT,108125,Truck,AWD,5197739
Honda,Civic,2010,1.6,Hybrid,Manual,70406,Truck,AWD,905597
Toyota,Camry,2012,3.0,Petrol,CVT,29648,SUV,AWD,4558846
Hyundai,Sonata,2013,3.4,Petrol,Automatic,146180,SUV,AWD,5914417
Suzuki,Cultus,2008,2.8,Hybrid,Automatic,195118,Sedan,FWD,2261551
Honda,Accord,2016,1.3,Petrol,Manual,150343,Sedan,FWD,5951608
Honda,Civic,2015,2.1,Electric,Manual,54332,SUV,AWD,6425984
Suzuki,Swift,2016,1.6,Petrol,CVT,21850,Hatchback,RWD,6338271
Suzuki,Swift,2022,1.9,Electric,Automatic,160006,Hatchback,AWD,7466324
Hyundai,Elantra,2017,2.5,Hybrid,Automatic,160397,Sedan,AWD,6320595
Kia,Cerato,2016,1.4,Hybrid,Manual,23909,SUV,FWD,4350445
Honda,Civic,2017,1.9,Hybrid,Automatic,114710,SUV,RWD,5171333
Kia,Cerato,2006,3.0,Petrol,CVT,27606,Hatchback,RWD,5224240
Toyota,Fortuner,2019,3.9,Petrol,Automatic,64834,SUV,RWD,1238800
Kia,Cerato,2017,1.5,Diesel,Automatic,54806,Sedan,RWD,3308656
Hyundai,Elantra,2007,2.8,Petrol,CVT,174622,Sedan,RWD,2058564
Kia,Cerato,2017,2.3,Diesel,CVT,85782,Sedan,FWD,5023816
Hyundai,Tucson,2010,2.7,Diesel,Manual,179076,SUV,FWD,5762163
Suzuki,WagonR,2021,3.4,Diesel,CVT,173604,Sedan,AWD,7819490
Suzuki,Swift,2022,1.7,Diesel,CVT,195865,Truck,RWD,4863244
Kia,Sportage,2014,3.4,Petrol,Automatic,13996,Sedan,AWD,4396772
Hyundai,Sonata,2006,1.5,Petrol,Automatic,144116,SUV,AWD,1951021
Toyota,Corolla,2018,3.6,Electric,CVT,153337,Sedan,AWD,1963135
Honda,Civic,2006,2.1,Diesel,CVT,153971,Truck,RWD,5750090
Toyota,Yaris,2015,2.6,Electric,Manual,45114,Hatchback,AWD,2540129
Suzuki,Cultus,2005,3.9,Electric,Manual,43359,SUV,RWD,1153423
Honda,BR-V,2013,3.1,Diesel,CVT,50786,Hatchback,AWD,1760658
Toyota,Yaris,2010,3.0,Diesel,Manual,53456,SUV,AWD,3681733
Kia,Picanto,2015,3.7,Diesel,Automatic,45506,Sedan,AWD,7538995
Toyota,Fortuner,2005,3.1,Petrol,CVT,162672,Sedan,FWD,1272948
Honda,BR-V,2015,2.6,Hybrid,Manual,96964,Sedan,RWD,1552006
Honda,City,2016,1.8,Hybrid,CVT,91052,Hatchback,AWD,2166322
Kia,Sportage,2020,3.0,Electric,Manual,45294,Truck,AWD,4476742
Suzuki,Alto,2006,1.3,Hybrid,Manual,96705,Truck,AWD,6345127
Toyota,Fortuner,2008,3.4,Diesel,Manual,79432,Truck,RWD,7617130
Suzuki,Swift,2019,1.9,Diesel,Manual,7147,Hatchback,FWD,6716463
Suzuki,Cultus,2021,3.0,Hybrid,Automatic,66673,Truck,RWD,902737
Hyundai,Tucson,2020,2.7,Diesel,Manual,58168,Truck,RWD,4948930
Hyundai,Tucson,2022,1.7,Electric,Manual,106764,Sedan,AWD,3162033
Toyota,Camry,2021,3.1,Hybrid,Automatic,79964,Hatchback,FWD,5944698
Suzuki,Cultus,2009,1.2,Petrol,Automatic,170640,Sedan,AWD,7877116
Hyundai,Tucson,2023,2.8,Diesel,Automatic,190914,SUV,RWD,7892842
Hyundai,Sonata,2019,2.8,Hybrid,Manual,11517,Sedan,AWD,4403070
Hyundai,Elantra,2008,1.0,Hybrid,CVT,72487,SUV,RWD,3306996
Suzuki,Swift,2006,3.7,Diesel,Automatic,119820,Sedan,FWD,5243182
Hyundai,Elantra,2014,1.2,Petrol,Manual,64370,Sedan,FWD,6241157
Honda,City,2020,2.6,Hybrid,CVT,101375,Hatchback,RWD,7849712
Toyota,Yaris,2014,1.4,Diesel,Automatic,130600,Sedan,AWD,2243791
Kia,Picanto,2013,2.3,Hybrid,Manual,108819,Hatchback,FWD,1263009
Hyundai,Tucson,2005,2.8,Petrol,Manual,77511,Sedan,RWD,7029283
Toyota,Yaris,2017,2.8,Petrol,Manual,48540,Sedan,RWD,6389933
Suzuki,Swift,2012,1.7,Diesel,CVT,104557,Hatchback,AWD,1469786
Toyota,Fortuner,2020,2.5,Hybrid,Manual,125782,Truck,AWD,3276219
Suzuki,Cultus,2006,3.5,Electric,CVT,26197,SUV,RWD,6973230
Toyota,Yaris,2020,3.3,Diesel,Automatic,67141,Truck,AWD,6075781
Kia,Cerato,2018,3.0,Diesel,CVT,27577,Sedan,AWD,2058114
Kia,Cerato,2013,3.7,Diesel,Manual,33456,Truck,RWD,1403264
